CVE,Strike Name,Strike Info(URL),Strike Reference,Strike Tuples
CVE-2022-22719,Apache httpd mod_lua req_parsebody Denial of Service,ps://strikecenter.ixiacom.com/bps/strikes/denial/apache/cve_2022_22719_apache_httpd_mod_lua_req_parsebody_denial_of_service.xml,http://cve.mitre.org/cgi-bin/cvename.cgi?name=2022%2d22719,TCP 1.3.233.108:50995->1.4.97.204:80
CVE-2022-30522,Apache httpd mod_sed Denial of Service,ps://strikecenter.ixiacom.com/bps/strikes/denial/apache/cve_2022_30522_apache_httpd_mod_sed_denial_of_service.xml,http://cve.mitre.org/cgi-bin/cvename.cgi?name=2022%2d30522,TCP 1.3.172.89:24587->1.2.32.199:80
CVE-2022-21907,Microsoft Windows http.sys HTTP protcol stack DOS,ps://strikecenter.ixiacom.com/bps/strikes/denial/misc/cve_2022_21907_windows_http_protocol_stack_dos.xml,http://cve.mitre.org/cgi-bin/cvename.cgi?name=2022%2d21907,TCP 1.1.84.129:23549->1.6.236.100:80
CVE-2022-23253,Microsoft Windows PPTP Protocol Denial of Service,ps://strikecenter.ixiacom.com/bps/strikes/denial/pptp/cve_2022_23253_microsoft_windows_pptp_protocol_denial_of_service.xml,http://cve.mitre.org/cgi-bin/cvename.cgi?name=2022%2d23253,TCP 1.3.83.33:25146->1.6.87.24:1723
CVE-2022-24706,Apache CouchDB Erlang Cookie Authentication Bypass,ps://strikecenter.ixiacom.com/bps/strikes/exploits/apache/cve_2022_24706_apache_couchdb_erlang_cookie_auth_bypass.xml,http://cve.mitre.org/cgi-bin/cvename.cgi?name=2022%2d24706,TCP 1.1.97.7:39501->1.2.209.216:9100
CVE-2022-24112,Apache APISIX batch-requests Plugin IP address Restriction Bypass,ps://strikecenter.ixiacom.com/bps/strikes/exploits/apache/cve_2022_24112_apache_apisix_batch_requests_authentication_bypass.xml,http://cve.mitre.org/cgi-bin/cvename.cgi?name=2022%2d24112,TCP 1.3.14.115:3786->1.4.167.85:9080 TCP 1.3.14.115:54051->1.4.167.85:9080
CVE-2022-42867,Apple Safari Webkit RenderMathML Use After Free,ps://strikecenter.ixiacom.com/bps/strikes/exploits/browser/cve_2022_42867_apple_webkit_crossfade_uaf.xml,http://cve.mitre.org/cgi-bin/cvename.cgi?name=2022%2d42867,TCP 1.3.115.135:64552->1.4.204.41:80
CVE-2022-41128,Internet Explorer Type confusion in JScript9 engine,ps://strikecenter.ixiacom.com/bps/strikes/exploits/browser/ie_cve_2022_41128_type_confusion_in_internet_explorer_jscript9.xml,http://cve.mitre.org/cgi-bin/cvename.cgi?name=2022%2d41128,TCP 1.3.234.109:32699->1.2.102.246:25
CVE-2022-0289,Google Chrome Safe Browsing OnReceivedThreatDOMDetails Use After Free,ps://strikecenter.ixiacom.com/bps/strikes/exploits/browser/cve_2022_0289_google_chrome_OnReceivedThreatDOMDetails_UAF.xml,http://cve.mitre.org/cgi-bin/cvename.cgi?name=2022%2d0289,TCP 1.3.78.110:54098->1.2.82.102:80
CVE-2022-3654,Google Chrome PerformLayout Use After Free,ps://strikecenter.ixiacom.com/bps/strikes/exploits/browser/cve_2022_3654_google_chrome_PerformLayout_UAF.xml,http://cve.mitre.org/cgi-bin/cvename.cgi?name=2022%2d3654,TCP 1.3.134.102:36176->1.4.131.115:80
